Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
107,mens,,0,0,0,0,0,0,0,0,0,0
108,wasnt,,0,0,0,0,0,0,0,0,0,0
109,picture,,0,0,0,0,0,0,0,0,0,0
110,way,,0,0,0,0,0,0,0,0,0,0
111,yes,,0,0,0,0,0,0,0,0,0,0
112,return,,0,0,0,0,0,0,0,0,0,0
113,problems,,0,0,0,0,0,0,0,0,0,0
114,getting,,0,0,0,0,0,0,0,0,0,0
115,refund,,0,0,0,0,0,0,0,0,0,0
116,feel,,0,203,248,451,2,0.666667,0.75,3.273027,0.02225,0.80303
117,walk,,0,0,0,0,0,0,0,0,0,0
118,different,,0,0,0,0,0,0,0,0,0,0
119,sizes,,0,0,0,0,0,0,0,0,0,0
120,glad,,0,0,0,0,0,0,0,0,0,0
121,able,,0,0,0,0,0,0,0,0,0,0
122,left,,0,0,0,0,0,0,0,0,0,0
123,thinks,,0,0,0,0,0,0,0,0,0,0
124,version,,0,0,0,0,0,0,0,0,0,0
125,versions,,0,0,0,0,0,0,0,0,0,0
126,maxes,,0,0,0,0,0,0,0,0,0,0
127,ill,,0,0,0,0,0,0,0,0,0,0
128,super,,0,0,0,0,0,0,0,0,0,0
129,careful,,0,0,0,0,0,0,0,0,0,0
130,babies,,0,0,0,0,0,0,0,0,0,0
131,man,,0,0,0,0,0,0,0,0,0,0
132,returned,,0,0,0,0,0,0,0,0,0,0
133,ran,,0,0,0,0,0,0,0,0,0,0
134,pain,,0,0,0,0,0,0,0,0,0,0
135,paid,,0,0,0,0,0,0,0,0,0,0
136,initial,,0,0,0,0,0,0,0,0,0,0
137,shipping,,0,0,0,0,0,0,0,0,0,0
138,incredible,,0,0,0,0,0,0,0,0,0,0
139,tight,,2,175,111,286,2,0.641509,0.720588,2.081817,0.021006,0.82381
140,time,,2,115,132,247,2,0.723404,0.808824,4.970299,0.022635,0.743083
141,wear,,2,266,341,607,2,0.809524,0.882353,18.921051,0.035634,0.666667
142,laces,,0,0,0,0,0,0,0,0,0,0
143,untied,,0,0,0,0,0,0,0,0,0,0
144,loose,,0,0,0,0,0,0,0,0,0,0
145,break,,0,0,0,0,0,0,0,0,0,0
146,better,,0,0,0,0,0,0,0,0,0,0
147,satisfied,,0,0,0,0,0,0,0,0,0,0
148,fitted,,0,0,0,0,0,0,0,0,0,0
149,box,,0,0,0,0,0,0,0,0,0,0
150,crushed,,0,0,0,0,0,0,0,0,0,0
