Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
like light,4.000000,0.000086,0.000809,0.651054
like make,3.000000,0.000065,0.000626,1.151108
like shoe,48.000000,0.001038,0.007131,1.207216
like shoes,89.000000,0.001925,0.012034,1.193179
like expected,4.000000,0.000086,0.000809,0.150388
like thanks,4.000000,0.000086,0.000809,1.193667
like sneaker,4.000000,0.000086,0.000809,1.547684
like nike,34.000000,0.000735,0.005305,1.764859
like love,11.000000,0.000238,0.001985,0.044590
like colors,4.000000,0.000086,0.000809,1.225216
like white,3.000000,0.000065,0.000626,1.696930
like run,6.000000,0.000130,0.001161,0.934334
like small,5.000000,0.000108,0.000987,0.307900
like size,13.000000,0.000281,0.002299,0.305381
like narrow,5.000000,0.000108,0.000987,0.717472
like feet,12.000000,0.000259,0.002143,0.965155
like really,11.000000,0.000238,0.001985,1.123358
like wide,4.000000,0.000086,0.000809,0.782010
like fit,24.000000,0.000519,0.003925,0.773813
like nikes,7.000000,0.000151,0.001331,1.647302
like order,5.000000,0.000108,0.000987,1.155881
like design,5.000000,0.000108,0.000987,1.770827
like color,16.000000,0.000346,0.002757,1.783630
like perfect,3.000000,0.000065,0.000626,-0.522869
like lot,13.000000,0.000281,0.002299,2.436447
like support,5.000000,0.000108,0.000987,0.687074
like know,4.000000,0.000086,0.000809,1.630681
like fits,5.000000,0.000108,0.000987,0.726774
like little,6.000000,0.000130,0.001161,0.426708
like big,3.000000,0.000065,0.000626,0.689072
like socks,4.000000,0.000086,0.000809,1.547684
like pair,13.000000,0.000281,0.002299,0.643584
like sneakers,7.000000,0.000151,0.001331,1.221559
like came,3.000000,0.000065,0.000626,0.822604
like ordered,7.000000,0.000151,0.001331,1.154515
like old,10.000000,0.000216,0.001825,1.820724
like bought,5.000000,0.000108,0.000987,0.255992
like day,4.000000,0.000086,0.000809,0.400141
