Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
shoes fine,7.000000,0.000151,0.001331,0.922036
shoes leather,5.000000,0.000108,0.000987,0.876761
shoes month,6.000000,0.000130,0.001161,1.515100
shoes fast,16.000000,0.000346,0.002757,0.830321
shoes black,3.000000,0.000065,0.000626,-0.116317
shoes stars,4.000000,0.000086,0.000809,1.004274
shoes liked,3.000000,0.000065,0.000626,0.380120
shoes does,4.000000,0.000086,0.000809,0.696789
shoes problem,5.000000,0.000108,0.000987,0.708624
shoes model,3.000000,0.000065,0.000626,0.821952
shoes ones,3.000000,0.000065,0.000626,0.043647
shoes expensive,5.000000,0.000108,0.000987,1.355251
shoes looked,10.000000,0.000216,0.001825,1.689453
shoes shipped,5.000000,0.000108,0.000987,1.227417
shoes earlier,3.000000,0.000065,0.000626,1.261319
shoes large,13.000000,0.000281,0.002299,1.738243
shoes reason,4.000000,0.000086,0.000809,1.087656
shoes stiff,3.000000,0.000065,0.000626,1.045096
shoes past,5.000000,0.000108,0.000987,1.332778
shoes miles,4.000000,0.000086,0.000809,0.838760
shoes ordering,4.000000,0.000086,0.000809,0.965053
shoes online,10.000000,0.000216,0.001825,1.900762
shoes somewhat,10.000000,0.000216,0.001825,1.721714
shoes sure,3.000000,0.000065,0.000626,0.003642
shoes owned,36.000000,0.000778,0.005572,2.488549
shoes tell,3.000000,0.000065,0.000626,1.017697
shoes couple,3.000000,0.000065,0.000626,0.338155
shoes uncomfortable,4.000000,0.000086,0.000809,0.908964
shoes let,3.000000,0.000065,0.000626,1.370518
shoes cheap,3.000000,0.000065,0.000626,1.102254
shoes holes,3.000000,0.000065,0.000626,0.568172
shoes kids,4.000000,0.000086,0.000809,1.087656
shoes stores,3.000000,0.000065,0.000626,0.965053
shoes overall,3.000000,0.000065,0.000626,0.033495
shoes gift,7.000000,0.000151,0.001331,0.954124
shoes provide,11.000000,0.000238,0.001985,1.938914
shoes high,5.000000,0.000108,0.000987,0.368756
shoes friend,3.000000,0.000065,0.000626,1.409739
shoes durable,9.000000,0.000195,0.001663,1.522535
shoes especially,7.000000,0.000151,0.001331,1.669250
shoes wears,3.000000,0.000065,0.000626,-0.089884
shoes likes,6.000000,0.000130,0.001161,1.059082
shoes store,9.000000,0.000195,0.001663,1.308387
shoes bright,3.000000,0.000065,0.000626,1.017697
shoes away,3.000000,0.000065,0.000626,0.844425
shoes compared,4.000000,0.000086,0.000809,1.450561
shoes weeks,4.000000,0.000086,0.000809,1.482310
shoes mesh,5.000000,0.000108,0.000987,1.332778
shoes fitting,3.000000,0.000065,0.000626,1.045096
shoes described,4.000000,0.000086,0.000809,1.004274
shoes took,4.000000,0.000086,0.000809,0.984471
shoes hold,6.000000,0.000130,0.001161,1.825254
shoes line,4.000000,0.000086,0.000809,1.620460
shoes soft,4.000000,0.000086,0.000809,0.757414
shoes lasted,9.000000,0.000195,0.001663,1.920565
shoes brands,6.000000,0.000130,0.001161,1.954466
shoes come,11.000000,0.000238,0.001985,2.036078
shoes arent,5.000000,0.000108,0.000987,2.048398
shoes helped,3.000000,0.000065,0.000626,1.684176
shoes quite,7.000000,0.000151,0.001331,1.505621
shoes timely,3.000000,0.000065,0.000626,1.856026
shoes collection,3.000000,0.000065,0.000626,1.989558
shoes course,4.000000,0.000086,0.000809,0.485480
shoes wants,3.000000,0.000065,0.000626,2.143708
shoes golf,13.000000,0.000281,0.002299,0.254310
shoes supportive,4.000000,0.000086,0.000809,1.620460
shoes condition,9.000000,0.000195,0.001663,1.835407
shoes broken,3.000000,0.000065,0.000626,1.370518
shoes hes,6.000000,0.000130,0.001161,1.471614
shoes wrong,3.000000,0.000065,0.000626,0.677371
shoes inserts,4.000000,0.000086,0.000809,1.871775
shoes plan,3.000000,0.000065,0.000626,1.795402
shoes incredibly,3.000000,0.000065,0.000626,1.738243
shoes designed,5.000000,0.000108,0.000987,2.003946
shoes generally,3.000000,0.000065,0.000626,1.920565
shoes plenty,3.000000,0.000065,0.000626,1.261319
shoes child,4.000000,0.000086,0.000809,2.277240
shoes slip,3.000000,0.000065,0.000626,1.296410
shoes anybody,4.000000,0.000086,0.000809,2.970387
shoes sick,4.000000,0.000086,0.000809,2.208247
shoes ripped,6.000000,0.000130,0.001161,2.277240
shoes expectations,3.000000,0.000065,0.000626,1.684176
shoes honestly,5.000000,0.000108,0.000987,2.836855
shoes similar,3.000000,0.000065,0.000626,1.632883
shoes option,3.000000,0.000065,0.000626,2.549173
shoes local,3.000000,0.000065,0.000626,1.795402
shoes birthday,4.000000,0.000086,0.000809,1.360949
shoes basically,4.000000,0.000086,0.000809,2.431390
shoes game,3.000000,0.000065,0.000626,1.296410
shoes specially,3.000000,0.000065,0.000626,3.530003
expected nice,9.000000,0.000195,0.001663,1.146903
expected look,6.000000,0.000130,0.001161,1.069579
expected like,5.000000,0.000108,0.000987,0.373532
expected great,30.000000,0.000649,0.004762,1.222641
expected shoe,12.000000,0.000259,0.002143,0.521699
expected shoes,23.000000,0.000497,0.003783,0.540813
expected thanks,5.000000,0.000108,0.000987,2.117588
expected nike,14.000000,0.000303,0.002453,1.578332
expected love,16.000000,0.000346,0.002757,1.120060
expected size,5.000000,0.000108,0.000987,0.050646
expected really,3.000000,0.000065,0.000626,0.524851
expected fit,20.000000,0.000432,0.003350,1.292269
expected favorite,3.000000,0.000065,0.000626,1.996818
expected color,3.000000,0.000065,0.000626,0.810430
expected perfect,6.000000,0.000130,0.001161,0.871055
expected fits,4.000000,0.000086,0.000809,1.204407
expected came,3.000000,0.000065,0.000626,1.523380
expected super,4.000000,0.000086,0.000809,1.794065
expected time,3.000000,0.000065,0.000626,0.556940
expected wear,4.000000,0.000086,0.000809,0.333362
expected excellent,4.000000,0.000086,0.000809,1.149848
expected comfort,3.000000,0.000065,0.000626,1.725322
expected delivery,4.000000,0.000086,0.000809,2.163664
expected absolutely,3.000000,0.000065,0.000626,2.144871
expected good,17.000000,0.000368,0.002907,1.208999
expected comfortable,18.000000,0.000389,0.003056,1.096558
expected foot,5.000000,0.000108,0.000987,1.301838
expected comfy,3.000000,0.000065,0.000626,1.600570
expected didnt,3.000000,0.000065,0.000626,1.529111
expected price,3.000000,0.000065,0.000626,0.734923
expected son,7.000000,0.000151,0.001331,1.234678
expected loves,3.000000,0.000065,0.000626,0.360229
expected quality,3.000000,0.000065,0.000626,1.127485
expected looked,3.000000,0.000065,0.000626,2.545032
expected date,3.000000,0.000065,0.000626,3.854953
thanks nice,6.000000,0.000130,0.001161,1.784717
thanks great,11.000000,0.000238,0.001985,1.262618
thanks shoe,6.000000,0.000130,0.001161,0.871830
thanks shoes,12.000000,0.000259,0.002143,0.933505
thanks expected,3.000000,0.000065,0.000626,1.606762
thanks nike,8.000000,0.000173,0.001499,2.061995
thanks love,12.000000,0.000259,0.002143,1.875657
thanks fit,4.000000,0.000086,0.000809,0.726110
thanks perfect,5.000000,0.000108,0.000987,1.732013
thanks service,3.000000,0.000065,0.000626,3.454779
thanks good,8.000000,0.000173,0.001499,1.498506
thanks purchased,3.000000,0.000065,0.000626,2.734233
thanks comfortable,3.000000,0.000065,0.000626,0.348077
thanks best,4.000000,0.000086,0.000809,2.470051
thanks amazon,15.000000,0.000324,0.002606,4.392123
thanks fast,6.000000,0.000130,0.001161,2.952322
sneaker like,3.000000,0.000065,0.000626,1.260002
sneaker great,7.000000,0.000151,0.001331,1.164649
sneaker shoes,5.000000,0.000108,0.000987,0.412053
sneaker love,4.000000,0.000086,0.000809,1.131062
sneaker size,4.000000,0.000086,0.000809,1.224798
sneaker fits,3.000000,0.000065,0.000626,2.314021
sneaker good,6.000000,0.000130,0.001161,1.564841
sneaker price,3.000000,0.000065,0.000626,2.132219
sneaker rx,4.000000,0.000086,0.000809,6.986850
sneaker ethics,3.000000,0.000065,0.000626,6.986850
sneaker head,5.000000,0.000108,0.000987,6.198392
nike like,5.000000,0.000108,0.000987,-0.152064
nike years,7.000000,0.000151,0.001331,1.897881
nike great,20.000000,0.000432,0.003350,0.291580
nike product,10.000000,0.000216,0.001825,1.649516
nike make,6.000000,0.000130,0.001161,2.019436
nike shoe,34.000000,0.000735,0.005305,1.037557
nike shoes,150.000000,0.003244,0.018589,1.890359
nike expected,3.000000,0.000065,0.000626,0.037887
nike sneaker,5.000000,0.000108,0.000987,1.946008
nike love,7.000000,0.000151,0.001331,-0.232214
nike run,15.000000,0.000324,0.002606,2.025805
nike small,5.000000,0.000108,0.000987,0.483081
nike size,11.000000,0.000238,0.001985,0.313508
nike narrow,4.000000,0.000086,0.000809,0.669509
nike really,5.000000,0.000108,0.000987,0.510081
nike wide,3.000000,0.000065,0.000626,0.669509
nike fit,16.000000,0.000346,0.002757,0.543529
nike color,3.000000,0.000065,0.000626,0.284835
nike airmax,3.000000,0.000065,0.000626,3.454520
nike know,4.000000,0.000086,0.000809,1.805862
nike fits,4.000000,0.000086,0.000809,0.678812
nike pairs,3.000000,0.000065,0.000626,1.295036
nike need,4.000000,0.000086,0.000809,1.296961
nike sneakers,18.000000,0.000389,0.003056,2.341202
nike bought,7.000000,0.000151,0.001331,0.767645
nike doesnt,4.000000,0.000086,0.000809,2.055804
nike air,56.000000,0.001211,0.008133,3.677664
nike max,26.000000,0.000562,0.004207,3.856147
nike mens,8.000000,0.000173,0.001499,3.118048
nike sizes,3.000000,0.000065,0.000626,1.914075
nike time,3.000000,0.000065,0.000626,0.031344
nike box,11.000000,0.000238,0.001985,2.274468
nike style,5.000000,0.000108,0.000987,1.502912
nike good,10.000000,0.000216,0.001825,0.152775
nike purchased,3.000000,0.000065,0.000626,1.165358
nike comfortable,8.000000,0.000173,0.001499,-0.239968
nike cross,4.000000,0.000086,0.000809,3.359210
nike running,21.000000,0.000454,0.003495,2.150056
nike ive,6.000000,0.000130,0.001161,1.145291
nike jordans,3.000000,0.000065,0.000626,1.755851
nike usually,3.000000,0.000065,0.000626,1.587860
nike right,3.000000,0.000065,0.000626,0.801278
nike trainers,7.000000,0.000151,0.001331,3.608671
nike basketball,9.000000,0.000195,0.001663,2.457162
nike tennis,4.000000,0.000086,0.000809,2.372715
nike husband,3.000000,0.000065,0.000626,1.112715
nike try,3.000000,0.000065,0.000626,1.780544
nike didnt,5.000000,0.000108,0.000987,1.514341
nike series,3.000000,0.000065,0.000626,3.859986
nike best,4.000000,0.000086,0.000809,0.901177
nike runs,13.000000,0.000281,0.002299,2.965469
nike makes,10.000000,0.000216,0.001825,3.118048
nike brand,7.000000,0.000151,0.001331,2.627842
nike quality,8.000000,0.000173,0.001499,1.582718
nike amazon,6.000000,0.000130,0.001161,1.906958
nike making,8.000000,0.000173,0.001499,3.588052
nike lunar,6.000000,0.000130,0.001161,3.523513
nike does,6.000000,0.000130,0.001161,2.636210
nike swoosh,9.000000,0.000195,0.001663,4.488594
nike force,3.000000,0.000065,0.000626,2.984517
nike products,4.000000,0.000086,0.000809,3.885303
nike wears,3.000000,0.000065,0.000626,1.444072
nike store,7.000000,0.000151,0.001331,2.591028
nike tends,5.000000,0.000108,0.000987,4.727486
nike cleats,5.000000,0.000108,0.000987,2.410716
nike pegasus,7.000000,0.000151,0.001331,3.677664
nike fan,7.000000,0.000151,0.001331,3.225679
nike cheaper,3.000000,0.000065,0.000626,2.795275
nike outlet,9.000000,0.000195,0.001663,4.776276
nike tend,3.000000,0.000065,0.000626,3.523513
nike golf,24.000000,0.000519,0.003925,2.401370
nike free,34.000000,0.000735,0.005305,4.233610
nike flex,3.000000,0.000065,0.000626,3.329357
nike slides,5.000000,0.000108,0.000987,2.912196
nike consistent,3.000000,0.000065,0.000626,4.216660
nike logo,4.000000,0.000086,0.000809,4.147668
nike cortez,7.000000,0.000151,0.001331,4.119497
nike frees,11.000000,0.000238,0.001985,4.753803
nike flyknit,5.000000,0.000108,0.000987,3.677664
nike tr,3.000000,0.000065,0.000626,4.776276
nike shox,3.000000,0.000065,0.000626,5.063958
nike monarch,3.000000,0.000065,0.000626,3.965346
love clean,3.000000,0.000065,0.000626,1.459893
love nice,17.000000,0.000368,0.002907,0.665493
love look,43.000000,0.000930,0.006491,1.921620
love like,10.000000,0.000216,0.001825,-0.050720
love great,51.000000,0.001103,0.007510,0.635870
love light,6.000000,0.000130,0.001161,0.639897
love product,7.000000,0.000151,0.001331,0.701037
love make,3.000000,0.000065,0.000626,0.734485
love shoe,66.000000,0.001427,0.009351,1.109048
love shoes,347.000000,0.007504,0.036710,2.137245
love expected,3.000000,0.000065,0.000626,-0.553916
love thanks,11.000000,0.000238,0.001985,1.788646
love sneaker,3.000000,0.000065,0.000626,0.843379
love nike,34.000000,0.000735,0.005305,1.348236
love colors,17.000000,0.000368,0.002907,2.255512
love run,6.000000,0.000130,0.001161,0.517711
love small,7.000000,0.000151,0.001331,0.227750
love size,6.000000,0.000130,0.001161,-0.884431
love really,7.000000,0.000151,0.001331,0.254750
love wide,3.000000,0.000065,0.000626,0.077706
love fit,51.000000,0.001103,0.007510,1.110963
love nikes,18.000000,0.000389,0.003056,2.175141
love order,3.000000,0.000065,0.000626,0.228433
love favorite,6.000000,0.000130,0.001161,1.572567
love design,12.000000,0.000259,0.002143,2.229674
love awesome,9.000000,0.000195,0.001663,0.885554
love color,44.000000,0.000951,0.006620,2.378609
love perfect,19.000000,0.000411,0.003204,0.906336
love lot,4.000000,0.000086,0.000809,0.841170
love fits,10.000000,0.000216,0.001825,1.003299
love little,14.000000,0.000303,0.002453,0.857384
love need,3.000000,0.000065,0.000626,0.417476
love pair,15.000000,0.000324,0.002606,0.370063
love sneakers,34.000000,0.000735,0.005305,2.385387
love came,7.000000,0.000151,0.001331,1.253279
love old,6.000000,0.000130,0.001161,0.893276
love bought,17.000000,0.000368,0.002907,1.063145
love daughter,4.000000,0.000086,0.000809,1.014262
love wife,4.000000,0.000086,0.000809,2.332089
love air,12.000000,0.000259,0.002143,1.545416
love thank,10.000000,0.000216,0.001825,1.777528
love kicks,4.000000,0.000086,0.000809,2.074260
love half,3.000000,0.000065,0.000626,0.102707
love looks,8.000000,0.000173,0.001499,1.126647
love um,3.000000,0.000065,0.000626,3.961329
love received,4.000000,0.000086,0.000809,1.185621
love way,16.000000,0.000346,0.002757,1.982054
love feel,15.000000,0.000324,0.002606,1.247960
love different,5.000000,0.000108,0.000987,1.118748
love super,3.000000,0.000065,0.000626,0.388984
love shipping,5.000000,0.000108,0.000987,0.850484
love tight,6.000000,0.000130,0.001161,0.714838
love time,4.000000,0.000086,0.000809,-0.272777
love wear,7.000000,0.000151,0.001331,-0.224422
love better,3.000000,0.000065,0.000626,0.242891
love excellent,10.000000,0.000216,0.001825,0.948740
love service,3.000000,0.000065,0.000626,1.294101
love happy,4.000000,0.000086,0.000809,0.205960
love weight,3.000000,0.000065,0.000626,0.975647
love style,16.000000,0.000346,0.002757,2.074260
love good,16.000000,0.000346,0.002757,0.030975
love purchased,5.000000,0.000108,0.000987,1.084381
love comfortable,34.000000,0.000735,0.005305,0.615147
love theyre,6.000000,0.000130,0.001161,1.164048
love gym,3.000000,0.000065,0.000626,1.164048
love wearing,4.000000,0.000086,0.000809,0.455772
love running,6.000000,0.000130,0.001161,0.305490
love compliments,5.000000,0.000108,0.000987,1.408764
love second,3.000000,0.000065,0.000626,0.808593
love jordans,8.000000,0.000173,0.001499,2.144877
love far,4.000000,0.000086,0.000809,1.148919
love right,5.000000,0.000108,0.000987,0.720301
love comfy,4.000000,0.000086,0.000809,0.770853
love tennis,5.000000,0.000108,0.000987,2.004055
love looking,7.000000,0.000151,0.001331,0.714283
love recommend,3.000000,0.000065,0.000626,0.172605
love year,4.000000,0.000086,0.000809,0.643514
love excelente,3.000000,0.000065,0.000626,1.510324
love husband,6.000000,0.000130,0.001161,1.214058
love classic,6.000000,0.000130,0.001161,2.680396
love didnt,4.000000,0.000086,0.000809,0.699394
love best,5.000000,0.000108,0.000987,0.532517
love loved,4.000000,0.000086,0.000809,0.525731
love extremely,4.000000,0.000086,0.000809,1.243329
love price,5.000000,0.000108,0.000987,0.128350
love red,4.000000,0.000086,0.000809,1.747576
love son,8.000000,0.000173,0.001499,0.250811
love loves,4.000000,0.000086,0.000809,-0.469487
love quality,4.000000,0.000086,0.000809,0.297768
love wish,6.000000,0.000130,0.001161,1.764105
love lightweight,3.000000,0.000065,0.000626,1.082131
love em,35.000000,0.000757,0.005439,3.949966
love exactly,3.000000,0.000065,0.000626,0.636293
love pink,3.000000,0.000065,0.000626,2.074260
love wait,3.000000,0.000065,0.000626,2.105031
love fast,7.000000,0.000151,0.001331,0.945794
love black,3.000000,0.000065,0.000626,0.825835
love large,3.000000,0.000065,0.000626,1.214058
love school,3.000000,0.000065,0.000626,1.253279
love gotten,3.000000,0.000065,0.000626,1.933181
love moment,3.000000,0.000065,0.000626,3.373543
love cleats,3.000000,0.000065,0.000626,1.308087
love jordan,8.000000,0.000173,0.001499,2.377209
love golf,9.000000,0.000195,0.001663,0.828738
love hate,3.000000,0.000065,0.000626,3.085861
love sandals,8.000000,0.000173,0.001499,2.288917
love slides,3.000000,0.000065,0.000626,1.809567
love cortez,6.000000,0.000130,0.001161,3.373543
colors nice,4.000000,0.000086,0.000809,1.410800
colors like,3.000000,0.000065,0.000626,0.937534
colors great,11.000000,0.000238,0.001985,1.294166
colors shoe,10.000000,0.000216,0.001825,1.414204
colors shoes,5.000000,0.000108,0.000987,0.089584
colors love,4.000000,0.000086,0.000809,0.808593
colors fit,3.000000,0.000065,0.000626,0.469976
colors style,5.000000,0.000108,0.000987,3.103335
colors good,4.000000,0.000086,0.000809,0.836907
colors comfortable,7.000000,0.000151,0.001331,1.226923
colors loved,3.000000,0.000065,0.000626,2.430275
white shoe,3.000000,0.000065,0.000626,0.969628
white shoes,5.000000,0.000108,0.000987,0.848981
white nike,3.000000,0.000065,0.000626,1.872111
white love,3.000000,0.000065,0.000626,1.280308
white color,3.000000,0.000065,0.000626,2.644654
white laces,3.000000,0.000065,0.000626,4.000602
white soles,5.000000,0.000108,0.000987,4.874333
white br,3.000000,0.000065,0.000626,3.142493
white leather,3.000000,0.000065,0.000626,4.259710
white black,5.000000,0.000108,0.000987,4.288284
white ones,3.000000,0.000065,0.000626,3.937423
run like,5.000000,0.000108,0.000987,0.752012
run great,4.000000,0.000086,0.000809,-0.413782
run shoe,4.000000,0.000086,0.000809,-0.198434
run shoes,11.000000,0.000238,0.001985,0.181695
run small,91.000000,0.001968,0.012261,4.288578
run size,33.000000,0.000714,0.005170,2.316196
run narrow,21.000000,0.000454,0.003495,3.231813
run feet,3.000000,0.000065,0.000626,0.658118
run really,3.000000,0.000065,0.000626,0.903332
run wide,3.000000,0.000065,0.000626,1.573585
run little,33.000000,0.000714,0.005170,3.210713
run big,13.000000,0.000281,0.002299,3.234666
run ordered,4.000000,0.000086,0.000809,1.674156
run day,6.000000,0.000130,0.001161,1.884863
run half,15.000000,0.000324,0.002606,3.208024
run feel,4.000000,0.000086,0.000809,1.422083
run walk,3.000000,0.000065,0.000626,2.431917
run sizes,4.000000,0.000086,0.000809,3.105833
run tight,3.000000,0.000065,0.000626,1.517570
run wear,3.000000,0.000065,0.000626,0.424160
run smaller,9.000000,0.000195,0.001663,3.473911
run good,3.000000,0.000065,0.000626,-0.147122
run purchased,3.000000,0.000065,0.000626,2.069434
run comfortable,3.000000,0.000065,0.000626,-0.316722
run slightly,3.000000,0.000065,0.000626,2.847139
run week,6.000000,0.000130,0.001161,3.227194
run times,4.000000,0.000086,0.000809,3.276791
run fast,3.000000,0.000065,0.000626,1.594376
run problem,3.000000,0.000065,0.000626,2.635830
run large,4.000000,0.000086,0.000809,2.997620
run miles,11.000000,0.000238,0.001985,4.288392
run lite,4.000000,0.000086,0.000809,4.789379
run wider,3.000000,0.000065,0.000626,2.892259
run faster,3.000000,0.000065,0.000626,4.070914
small nice,9.000000,0.000195,0.001663,1.081271
small look,4.000000,0.000086,0.000809,0.598482
small like,7.000000,0.000151,0.001331,0.644372
small great,13.000000,0.000281,0.002299,0.320761
small shoe,10.000000,0.000216,0.001825,0.273745
small shoes,14.000000,0.000303,0.002453,-0.021255
small nike,4.000000,0.000086,0.000809,0.259937
small love,12.000000,0.000259,0.002143,0.766746
small size,45.000000,0.000973,0.006748,2.182239
small narrow,19.000000,0.000411,0.003204,2.687617
small feet,11.000000,0.000238,0.001985,1.513288
small really,6.000000,0.000130,0.001161,1.152367
small bigger,6.000000,0.000130,0.001161,2.338948
small fit,8.000000,0.000173,0.001499,0.310346
small order,7.000000,0.000151,0.001331,2.127498
small awesome,3.000000,0.000065,0.000626,0.838709
small perfect,4.000000,0.000086,0.000809,0.399958
small big,5.000000,0.000108,0.000987,1.835043
small needed,4.000000,0.000086,0.000809,2.377617
small ordered,8.000000,0.000173,0.001499,1.923191
small old,3.000000,0.000065,0.000626,1.251896
small bought,7.000000,0.000151,0.001331,1.227609
small half,8.000000,0.000173,0.001499,2.135303
small return,8.000000,0.000173,0.001499,2.661721
small returned,3.000000,0.000065,0.000626,2.528190
small tight,7.000000,0.000151,0.001331,1.920756
small wear,10.000000,0.000216,0.001825,1.184020
small box,4.000000,0.000086,0.000809,1.722831
small excellent,3.000000,0.000065,0.000626,0.796534
small width,3.000000,0.000065,0.000626,2.047823
small good,15.000000,0.000324,0.002606,1.018204
small toe,10.000000,0.000216,0.001825,2.849773
small sent,3.000000,0.000065,0.000626,3.188547
small comfortable,9.000000,0.000195,0.001663,0.337778
small foot,8.000000,0.000173,0.001499,1.706210
small hurt,4.000000,0.000086,0.000809,2.705524
small usually,3.000000,0.000065,0.000626,2.047823
small right,3.000000,0.000065,0.000626,1.261242
small normally,3.000000,0.000065,0.000626,2.417842
small husband,4.000000,0.000086,0.000809,1.860360
small didnt,3.000000,0.000065,0.000626,1.463479
small son,5.000000,0.000108,0.000987,0.832574
small material,4.000000,0.000086,0.000809,2.592728
small loves,5.000000,0.000108,0.000987,0.805423
small exactly,4.000000,0.000086,0.000809,1.975742
small hole,3.000000,0.000065,0.000626,3.849946
size nice,7.000000,0.000151,0.001331,-0.128074
size look,8.000000,0.000173,0.001499,0.333598
size like,17.000000,0.000368,0.002907,0.573645
size did,4.000000,0.000086,0.000809,0.852320
size years,3.000000,0.000065,0.000626,0.552516
size great,32.000000,0.000692,0.005035,0.263517
size product,4.000000,0.000086,0.000809,0.235158
size make,4.000000,0.000086,0.000809,1.115904
size shoe,43.000000,0.000930,0.006491,0.774330
size shoes,51.000000,0.001103,0.007510,0.313482
size expected,8.000000,0.000173,0.001499,0.520650
size nike,19.000000,0.000411,0.003204,0.860052
size love,14.000000,0.000303,0.002453,-0.037133
size run,7.000000,0.000151,0.001331,0.765599
size small,67.000000,0.001449,0.009471,2.580269
size narrow,16.000000,0.000346,0.002757,1.557737
size higher,5.000000,0.000108,0.000987,3.284958
size feet,7.000000,0.000151,0.001331,0.103273
size really,6.000000,0.000130,0.001161,0.194336
size wide,10.000000,0.000216,0.001825,1.375415
size bigger,83.000000,0.001795,0.011348,4.007998
size fit,75.000000,0.001622,0.010419,1.590362
size nikes,8.000000,0.000173,0.001499,1.457947
size order,12.000000,0.000259,0.002143,1.708464
size awesome,6.000000,0.000130,0.001161,0.573826
size perfect,31.000000,0.000670,0.004899,1.489620
size fits,21.000000,0.000454,0.003495,1.838973
size little,27.000000,0.000584,0.004347,1.607900
size big,26.000000,0.000562,0.004207,2.525671
size needed,5.000000,0.000108,0.000987,1.642730
size need,6.000000,0.000130,0.001161,1.204359
size pair,10.000000,0.000216,0.001825,0.058334
size sneakers,6.000000,0.000130,0.001161,0.744523
size ordered,23.000000,0.000497,0.003783,2.021213
size old,3.000000,0.000065,0.000626,0.293866
size bought,22.000000,0.000476,0.003640,1.414711
size doesnt,3.000000,0.000065,0.000626,1.270055
size maybe,3.000000,0.000065,0.000626,1.657171
size half,20.000000,0.000432,0.003350,2.093564
size looks,6.000000,0.000130,0.001161,0.932701
size womens,13.000000,0.000281,0.002299,3.123508
size received,7.000000,0.000151,0.001331,1.838973
size mens,5.000000,0.000108,0.000987,2.149978
size way,3.000000,0.000065,0.000626,0.401814
size return,4.000000,0.000086,0.000809,1.010544
size feel,7.000000,0.000151,0.001331,0.579557
size different,4.000000,0.000086,0.000809,0.989341
size shipping,3.000000,0.000065,0.000626,0.433395
size tight,17.000000,0.000368,0.002907,1.850029
size time,6.000000,0.000130,0.001161,0.226425
size wear,21.000000,0.000454,0.003495,0.967927
size better,3.000000,0.000065,0.000626,0.336628
size box,4.000000,0.000086,0.000809,0.764800
size think,3.000000,0.000065,0.000626,0.902330
size excellent,4.000000,0.000086,0.000809,0.126186
size smaller,42.000000,0.000908,0.006361,3.612213
size happy,4.000000,0.000086,0.000809,0.299697
size absolutely,3.000000,0.000065,0.000626,1.121209
size width,3.000000,0.000065,0.000626,1.089793
size toes,4.000000,0.000086,0.000809,1.533345
size style,6.000000,0.000130,0.001161,1.187167
size good,21.000000,0.000454,0.003495,0.396646
size purchased,3.000000,0.000065,0.000626,0.667292
size perfectly,12.000000,0.000259,0.002143,1.897507
size room,6.000000,0.000130,0.001161,2.214516
size sent,3.000000,0.000065,0.000626,2.230517
size comfortable,20.000000,0.000432,0.003350,0.178256
size foot,8.000000,0.000173,0.001499,0.748179
size running,9.000000,0.000195,0.001663,0.804692
size ive,3.000000,0.000065,0.000626,-0.045923
size snug,6.000000,0.000130,0.001161,1.586966
size usually,13.000000,0.000281,0.002299,2.556130
size right,6.000000,0.000130,0.001161,0.996359
size hard,6.000000,0.000130,0.001161,1.648121
size looking,3.000000,0.000065,0.000626,-0.039279
size true,5.000000,0.000108,0.000987,1.511890
size larger,81.000000,0.001752,0.011117,4.047686
size normally,15.000000,0.000324,0.002606,3.069249
size correct,3.000000,0.000065,0.000626,2.445628
size actually,3.000000,0.000065,0.000626,1.374044
size ok,4.000000,0.000086,0.000809,1.570159
size normal,28.000000,0.000605,0.004486,3.503647
size br,8.000000,0.000173,0.001499,1.265436
size best,4.000000,0.000086,0.000809,0.403110
size runs,10.000000,0.000216,0.001825,2.205038
size available,7.000000,0.000151,0.001331,2.985441
size expect,3.000000,0.000065,0.000626,1.639152
size work,3.000000,0.000065,0.000626,0.488354
size brand,3.000000,0.000065,0.000626,1.282477
size son,5.000000,0.000108,0.000987,-0.125456
size quality,5.000000,0.000108,0.000987,0.614648
size wish,3.000000,0.000065,0.000626,1.164694
size amazon,3.000000,0.000065,0.000626,0.715744
size exactly,4.000000,0.000086,0.000809,1.017712
size fine,8.000000,0.000173,0.001499,2.091456
size wiggle,3.000000,0.000065,0.000626,3.467279
size spot,3.000000,0.000065,0.000626,3.179597
size large,6.000000,0.000130,0.001161,2.000942
size reviews,5.000000,0.000108,0.000987,1.985675
size reading,7.000000,0.000151,0.001331,3.621430
size somewhat,5.000000,0.000108,0.000987,2.064456
size sure,6.000000,0.000130,0.001161,1.732678
size cause,3.000000,0.000065,0.000626,2.167996
size uncomfortable,3.000000,0.000065,0.000626,1.657171
size usual,10.000000,0.000216,0.001825,3.371969
size wider,3.000000,0.000065,0.000626,1.490117
size cm,3.000000,0.000065,0.000626,4.278210
size actual,4.000000,0.000086,0.000809,2.694089
size wears,4.000000,0.000086,0.000809,1.233687
size regular,7.000000,0.000151,0.001331,2.384667
size read,3.000000,0.000065,0.000626,2.000942
size based,3.000000,0.000065,0.000626,2.619981
size barely,3.000000,0.000065,0.000626,3.025447
size instead,4.000000,0.000086,0.000809,2.214516
size option,3.000000,0.000065,0.000626,3.585062
size upbr,3.000000,0.000065,0.000626,4.278210
narrow nice,4.000000,0.000086,0.000809,0.679912
narrow like,4.000000,0.000086,0.000809,0.494328
narrow great,8.000000,0.000173,0.001499,0.244825
