Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
138,inside,,0,0,0,0,0,0,0
139,didnt,,0,0,0,0,0,0,0
140,think,,0,0,0,0,0,0,0
141,id,,0,0,0,0,0,0,0
142,ive,,0,0,0,0,0,0,0
143,figured,,0,0,0,0,0,0,0
144,simple,,0,0,0,0,0,0,0
145,slipping,,0,0,0,0,0,0,0
146,regular,,0,0,0,0,0,0,0
147,isnt,,0,0,0,0,0,0,0
148,deal,,0,0,0,0,0,0,0
149,worn,,0,0,0,0,0,0,0
150,hours,,0,0,0,0,0,0,0
151,discomfort,,0,0,0,0,0,0,0
152,soft,,0,0,0,0,0,0,0
153,cushy,,0,0,0,0,0,0,0
154,gotten,,0,0,0,0,0,0,0
155,different,,0,0,0,0,0,0,0
156,colors,,0,0,0,0,0,0,0
157,months,,0,0,0,0,0,0,0
158,loved,,0,0,0,0,0,0,0
159,given,,0,0,0,0,0,0,0
160,stars,,0,0,0,0,0,0,0
161,elastic,,0,0,0,0,0,0,0
162,difficult,,0,0,0,0,0,0,0
163,rub,,0,0,0,0,0,0,0
164,blister,,0,0,0,0,0,0,0
165,foot,,1,2,0.695652,0.78125,2.858167,0.024304,0.850649
166,movement,,0,0,0,0,0,0,0
167,know,,0,0,0,0,0,0,0
168,going,,0,0,0,0,0,0,0
169,distance,,0,0,0,0,0,0,0
170,lots,,0,0,0,0,0,0,0
171,ideal,,0,0,0,0,0,0,0
172,sanuks,,0,0,0,0,0,0,0
173,did,,0,0,0,0,0,0,0
174,stock,,0,0,0,0,0,0,0
175,teal,,0,0,0,0,0,0,0
176,expect,,0,0,0,0,0,0,0
177,basically,,0,0,0,0,0,0,0
178,flipflops,,0,0,0,0,0,0,0
179,rarely,,0,0,0,0,0,0,0
180,maybe,,0,0,0,0,0,0,0
181,breaking,,0,0,0,0,0,0,0
182,putting,,0,0,0,0,0,0,0
183,pull,,0,0,0,0,0,0,0
184,bigger,,0,0,0,0,0,0,0
185,loop,,0,0,0,0,0,0,0
186,attached,,0,0,0,0,0,0,0
187,thong,,0,0,0,0,0,0,0
188,heel,,0,0,0,0,0,0,0
189,looking,,0,0,0,0,0,0,0
190,sizes,,0,0,0,0,0,0,0
191,loooove,,0,0,0,0,0,0,0
192,fit,,1,2,0.914286,0.953125,13.592593,0.038128,0.762097
193,amazing,,0,0,0,0,0,0,0
194,embarrassed,,0,0,0,0,0,0,0
195,say,,0,0,0,0,0,0,0
196,lately,,0,0,0,0,0,0,0
197,complaint,,0,0,0,0,0,0,0
198,goes,,0,0,0,0,0,0,0
199,cuts,,0,0,0,0,0,0,0
200,overall,,0,0,0,0,0,0,0
201,tho,,0,0,0,0,0,0,0
202,office,,0,0,0,0,0,0,0
203,dress,,0,0,0,0,0,0,0
204,code,,0,0,0,0,0,0,0
205,unless,,0,0,0,0,0,0,0
206,totally,,0,0,0,0,0,0,0
207,fabric,,0,0,0,0,0,0,0
208,pretty,,0,0,0,0,0,0,0
209,stretchy,,0,0,0,0,0,0,0
210,past,,0,0,0,0,0,0,0
211,weeks,,0,0,0,0,0,0,0
212,short,,0,0,0,0,0,0,0
213,errands,,0,0,0,0,0,0,0
214,sitting,,0,0,0,0,0,0,0
215,problem,,0,0,0,0,0,0,0
216,usual,,0,0,0,0,0,0,0
217,thing,,0,0,0,0,0,0,0
218,slide,,0,0,0,0,0,0,0
219,driving,,0,0,0,0,0,0,0
220,matches,,0,0,0,0,0,0,0
221,amazon,,0,0,0,0,0,0,0
222,far,,0,0,0,0,0,0,0
