Number of words,102449
Number of unique words,2620
Average word frequency,39.102672
Entropy,6.250748

Word,Frequency,Proportion,Entropy Term
totally,34,0.000332,0.002659
fabric,69,0.000674,0.004919
pretty,235,0.002294,0.013941
stretchy,30,0.000293,0.002382
past,63,0.000615,0.004547
weeks,154,0.001503,0.009771
short,74,0.000722,0.005225
errands,9,0.000088,0.000820
sitting,9,0.000088,0.000820
problem,157,0.001532,0.009932
usual,27,0.000264,0.002172
thing,91,0.000888,0.006241
slide,54,0.000527,0.003979
driving,9,0.000088,0.000820
matches,9,0.000088,0.000820
amazon,158,0.001542,0.009985
far,221,0.002157,0.013243
material,111,0.001083,0.007397
doesnt,125,0.001220,0.008186
make,194,0.001894,0.011872
sore,40,0.000390,0.003064
trying,61,0.000595,0.004422
pregnant,5,0.000049,0.000485
styles,33,0.000322,0.002590
sanuk,10,0.000098,0.000901
prefer,26,0.000254,0.002101
footbed,29,0.000283,0.002313
comparison,8,0.000078,0.000739
probably,83,0.000810,0.005767
kept,25,0.000244,0.002030
band,12,0.000117,0.001060
left,97,0.000947,0.006592
deep,3,0.000029,0.000306
major,18,0.000176,0.001519
plantar,27,0.000264,0.002172
year,444,0.004334,0.023582
yesterday,6,0.000059,0.000571
hope,69,0.000674,0.004919
yoga,32,0.000312,0.002521
soon,61,0.000595,0.004422
excellent,225,0.002196,0.013443
hopefully,33,0.000322,0.002590
proud,4,0.000039,0.000396
owner,3,0.000029,0.000306
second,201,0.001962,0.012230
ordered,440,0.004295,0.023408
color,226,0.002206,0.013493
version,31,0.000303,0.002452
want,113,0.001103,0.007511
extra,122,0.001191,0.008018
room,75,0.000732,0.005285
dangerous,6,0.000059,0.000571
way,223,0.002177,0.013343
tad,25,0.000244,0.002030
snugger,5,0.000049,0.000485
normally,113,0.001103,0.007511
thongs,6,0.000059,0.000571
arches,44,0.000429,0.003330
mat,16,0.000156,0.001369
conform,8,0.000078,0.000739
nicely,32,0.000312,0.002521
flexible,22,0.000215,0.001814
irritation,4,0.000039,0.000396
usually,164,0.001601,0.010305
awesome,139,0.001357,0.008958
able,67,0.000654,0.004795
keen,3,0.000029,0.000306
cloth,20,0.000195,0.001667
tolerable,3,0.000029,0.000306
nice,571,0.005574,0.028925
times,98,0.000957,0.006650
shape,59,0.000576,0.004296
air,50,0.000488,0.003721
highly,114,0.001113,0.007568
hairdresser,4,0.000039,0.000396
told,26,0.000254,0.002101
came,135,0.001318,0.008739
home,48,0.000469,0.003592
looked,73,0.000713,0.005164
days,204,0.001991,0.012383
sensitive,8,0.000078,0.000739
amazingly,17,0.000166,0.001444
rest,27,0.000264,0.002172
tricky,4,0.000039,0.000396
figure,8,0.000078,0.000739
daughter,938,0.009156,0.042971
loves,1195,0.011664,0.051921
bulky,20,0.000195,0.001667
multi,7,0.000068,0.000655
softer,11,0.000107,0.000981
returned,108,0.001054,0.007226
hold,126,0.001230,0.008241
place,42,0.000410,0.003197
falling,62,0.000605,0.004484
feels,129,0.001259,0.008408
cheap,59,0.000576,0.004296
ripping,9,0.000088,0.000820
saw,32,0.000312,0.002521
friend,32,0.000312,0.002521
solid,33,0.000322,0.002590
covering,5,0.000049,0.000485
dig,8,0.000078,0.000739
mind,26,0.000254,0.002101
walked,50,0.000488,0.003721
miles,41,0.000400,0.003131
week,172,0.001679,0.010727
discovered,5,0.000049,0.000485
mile,8,0.000078,0.000739
br,197,0.001923,0.012026
star,50,0.000488,0.003721
comes,40,0.000390,0.003064
black,147,0.001435,0.009394
fell,58,0.000566,0.004233
wonderfully,7,0.000068,0.000655
longer,99,0.000966,0.006708
couple,119,0.001162,0.007850
wide,435,0.004246,0.023191
alternative,8,0.000078,0.000739
plain,12,0.000117,0.001060
water,49,0.000478,0.003657
everyday,83,0.000810,0.005767
class,22,0.000215,0.001814
running,130,0.001269,0.008463
soooo,13,0.000127,0.001139
stay,52,0.000508,0.003850
unlike,15,0.000146,0.001293
easily,84,0.000820,0.005827
large,193,0.001884,0.011820
perfectly,169,0.001650,0.010569
matter,17,0.000166,0.001444
barely,24,0.000234,0.001958
funny,4,0.000039,0.000396
sock,14,0.000137,0.001216
omg,13,0.000127,0.001139
heaven,6,0.000059,0.000571
footwear,23,0.000225,0.001886
brand,175,0.001708,0.010885
went,111,0.001083,0.007397
trip,25,0.000244,0.002030
vegas,4,0.000039,0.000396
end,104,0.001015,0.006997
whatsoever,6,0.000059,0.000571
seriously,10,0.000098,0.000901
travel,8,0.000078,0.000739
bag,3,0.000029,0.000306
stylish,113,0.001103,0.007511
standard,18,0.000176,0.001519
true,143,0.001396,0.009176
looks,137,0.001337,0.008849
good,1415,0.013812,0.059145
neuropathy,5,0.000049,0.000485
insoles,113,0.001103,0.007511
hard,250,0.002440,0.014680
keeps,23,0.000225,0.001886
comparable,6,0.000059,0.000571
best,182,0.001776,0.011251
relatively,10,0.000098,0.000901
rubbed,19,0.000185,0.001594
constantly,35,0.000342,0.002727
eventually,18,0.000176,0.001519
gave,79,0.000771,0.005527
blisters,59,0.000576,0.004296
glad,74,0.000722,0.005225
purchased,235,0.002294,0.013941
liked,85,0.000830,0.005886
thicker,24,0.000234,0.001958
gives,27,0.000264,0.002172
