Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
shoes took,6.000000,0.000092,0.000855,0.890902
shoes problems,5.000000,0.000077,0.000727,0.696746
shoes heels,3.000000,0.000046,0.000459,0.271863
shoes standing,4.000000,0.000061,0.000595,0.667759
shoes wouldnt,3.000000,0.000046,0.000459,0.365892
shoes received,6.000000,0.000092,0.000855,0.855811
shoes cushion,5.000000,0.000077,0.000727,0.564687
shoes fast,5.000000,0.000077,0.000727,0.351906
shoes shes,5.000000,0.000077,0.000727,0.949743
shoes sneakers,7.000000,0.000107,0.000981,0.128762
shoes return,4.000000,0.000061,0.000595,-0.426080
shoes poor,3.000000,0.000046,0.000459,1.194585
shoes quality,15.000000,0.000230,0.001927,0.491807
shoes extremely,15.000000,0.000230,0.001927,1.385980
shoes absolutely,11.000000,0.000169,0.001465,1.060321
shoes needs,5.000000,0.000077,0.000727,1.247577
shoes having,3.000000,0.000046,0.000459,0.469689
shoes cause,3.000000,0.000046,0.000459,0.915000
shoes uncomfortable,14.000000,0.000215,0.001813,1.063072
shoes owned,28.000000,0.000429,0.003329,2.719030
shoes needed,10.000000,0.000153,0.001347,0.862732
shoes thanks,5.000000,0.000077,0.000727,0.782689
shoes shipping,3.000000,0.000046,0.000459,0.197755
shoes getting,5.000000,0.000077,0.000727,0.554430
shoes weather,3.000000,0.000046,0.000459,1.296368
shoes send,3.000000,0.000046,0.000459,0.454185
shoes fall,9.000000,0.000138,0.001227,1.701833
shoes special,3.000000,0.000046,0.000459,2.143665
shoes quickly,6.000000,0.000092,0.000855,1.004231
shoes away,3.000000,0.000046,0.000459,0.271863
shoes people,3.000000,0.000046,0.000459,0.603220
shoes today,5.000000,0.000077,0.000727,1.673662
shoes okay,6.000000,0.000092,0.000855,1.887732
shoes outside,3.000000,0.000046,0.000459,0.757371
shoes ones,8.000000,0.000123,0.001105,0.781088
shoes offer,3.000000,0.000046,0.000459,1.450518
shoes try,5.000000,0.000077,0.000727,0.279585
shoes expensive,6.000000,0.000092,0.000855,1.450518
shoes makes,5.000000,0.000077,0.000727,0.377224
shoes tend,4.000000,0.000061,0.000595,1.584050
shoes run,45.000000,0.000690,0.005023,1.670196
shoes believe,4.000000,0.000061,0.000595,1.087613
shoes break,5.000000,0.000077,0.000727,0.343607
shoes appear,3.000000,0.000046,0.000459,1.795359
shoes ago,5.000000,0.000077,0.000727,1.045053
shoes arent,10.000000,0.000153,0.001347,1.689410
shoes somewhat,5.000000,0.000077,0.000727,1.227375
shoes school,18.000000,0.000276,0.002262,1.147332
shoes described,6.000000,0.000092,0.000855,1.887732
shoes daily,7.000000,0.000107,0.000981,1.106422
shoes similar,6.000000,0.000092,0.000855,1.389894
shoes narrow,17.000000,0.000261,0.002151,0.969546
shoes foam,9.000000,0.000138,0.001227,-0.215615
shoes memory,23.000000,0.000353,0.002804,0.810382
shoes bad,7.000000,0.000107,0.000981,0.445432
shoes money,3.000000,0.000046,0.000459,-0.133602
shoes likes,5.000000,0.000077,0.000727,0.343607
shoes squeak,6.000000,0.000092,0.000855,2.613669
shoes kind,4.000000,0.000061,0.000595,0.805380
shoes online,12.000000,0.000184,0.001583,1.903993
shoes live,5.000000,0.000077,0.000727,1.584050
shoes arrived,11.000000,0.000169,0.001465,1.439219
shoes come,18.000000,0.000276,0.002262,1.701833
shoes available,3.000000,0.000046,0.000459,0.867372
shoes exactly,7.000000,0.000107,0.000981,1.009962
shoes wider,3.000000,0.000046,0.000459,0.454185
shoes reviews,5.000000,0.000077,0.000727,0.564687
shoes fun,3.000000,0.000046,0.000459,0.551035
shoes delivered,3.000000,0.000046,0.000459,1.584050
shoes leather,6.000000,0.000092,0.000855,0.716549
shoes durable,4.000000,0.000061,0.000595,0.291281
shoes broke,5.000000,0.000077,0.000727,1.150414
shoes wears,9.000000,0.000138,0.001227,0.579690
shoes rough,3.000000,0.000046,0.000459,1.102211
shoes required,3.000000,0.000046,0.000459,1.684133
shoes heavier,3.000000,0.000046,0.000459,1.537530
shoes store,5.000000,0.000077,0.000727,0.457266
shoes stiff,4.000000,0.000061,0.000595,0.855811
shoes worked,3.000000,0.000046,0.000459,0.799931
shoes completely,7.000000,0.000107,0.000981,1.563847
shoes non,8.000000,0.000123,0.001105,1.178584
shoes balance,3.000000,0.000046,0.000459,1.162836
shoes padding,5.000000,0.000077,0.000727,1.096346
shoes close,5.000000,0.000077,0.000727,1.843561
shoes socks,3.000000,0.000046,0.000459,-0.238962
shoes notice,4.000000,0.000061,0.000595,1.825212
shoes job,14.000000,0.000215,0.001813,1.477669
shoes slipped,3.000000,0.000046,0.000459,1.227375
shoes slippery,4.000000,0.000061,0.000595,1.252692
shoes box,3.000000,0.000046,0.000459,0.023402
shoes average,3.000000,0.000046,0.000459,1.493078
shoes finally,5.000000,0.000077,0.000727,1.528480
shoes working,16.000000,0.000245,0.002040,1.312116
shoes old,29.000000,0.000445,0.003432,0.731838
shoes complaining,3.000000,0.000046,0.000459,2.325987
shoes works,3.000000,0.000046,0.000459,0.380077
shoes real,6.000000,0.000092,0.000855,1.409696
shoes compared,3.000000,0.000046,0.000459,0.939693
shoes hot,3.000000,0.000046,0.000459,0.939693
shoes bottoms,3.000000,0.000046,0.000459,1.584050
shoes knew,4.000000,0.000061,0.000595,1.920522
shoes help,6.000000,0.000092,0.000855,1.102211
shoes hole,4.000000,0.000061,0.000595,1.825212
shoes local,4.000000,0.000061,0.000595,1.482267
shoes incredibly,3.000000,0.000046,0.000459,1.855983
shoes seen,6.000000,0.000092,0.000855,2.063623
shoes coming,5.000000,0.000077,0.000727,1.247577
shoes line,4.000000,0.000061,0.000595,1.278668
shoes held,8.000000,0.000123,0.001105,1.658158
shoes match,3.000000,0.000046,0.000459,1.332735
shoes replace,4.000000,0.000061,0.000595,0.821910
shoes velcro,4.000000,0.000061,0.000595,0.372959
shoes gift,4.000000,0.000061,0.000595,0.741867
shoes holding,9.000000,0.000138,0.001227,1.616310
shoes adorable,14.000000,0.000215,0.001813,1.762298
shoes continue,3.000000,0.000046,0.000459,1.537530
shoes exposed,3.000000,0.000046,0.000459,2.682662
shoes apart,13.000000,0.000199,0.001699,1.090963
shoes read,3.000000,0.000046,0.000459,1.045053
shoes noticed,3.000000,0.000046,0.000459,1.409696
shoes ran,4.000000,0.000061,0.000595,1.360906
shoes nearly,4.000000,0.000061,0.000595,1.620417
shoes crazy,3.000000,0.000046,0.000459,1.450518
shoes girls,5.000000,0.000077,0.000727,1.528480
shoes using,3.000000,0.000046,0.000459,0.890902
shoes concrete,3.000000,0.000046,0.000459,0.394466
shoes anymore,4.000000,0.000061,0.000595,1.155054
shoes kids,20.000000,0.000307,0.002481,1.635343
shoes wants,4.000000,0.000061,0.000595,1.305336
shoes stores,4.000000,0.000061,0.000595,1.548958
shoes says,10.000000,0.000153,0.001347,0.763641
shoes justice,3.000000,0.000046,0.000459,3.529960
shoes lasted,19.000000,0.000291,0.002372,1.974589
shoes hrs,4.000000,0.000061,0.000595,1.252692
shoes worse,5.000000,0.000077,0.000727,2.003903
shoes including,4.000000,0.000061,0.000595,2.351305
shoes replaced,4.000000,0.000061,0.000595,1.584050
shoes entire,3.000000,0.000046,0.000459,1.493078
shoes confortable,3.000000,0.000046,0.000459,1.296368
shoes daughters,3.000000,0.000046,0.000459,0.658280
shoes stopped,5.000000,0.000077,0.000727,1.738200
shoes boots,3.000000,0.000046,0.000459,-1.023917
shoes heavy,14.000000,0.000215,0.001813,1.192283
shoes visible,4.000000,0.000061,0.000595,2.719030
shoes mail,3.000000,0.000046,0.000459,2.682662
shoes hit,3.000000,0.000046,0.000459,1.537530
shoes yr,3.000000,0.000046,0.000459,1.073224
shoes feature,3.000000,0.000046,0.000459,1.450518
shoes rugged,4.000000,0.000061,0.000595,2.351305
shoes walmart,3.000000,0.000046,0.000459,1.493078
shoes grand,3.000000,0.000046,0.000459,1.684133
shoes son,32.000000,0.000491,0.003739,0.943606
shoes steel,10.000000,0.000153,0.001347,0.714551
shoes decent,3.000000,0.000046,0.000459,1.194585
shoes nonslip,6.000000,0.000092,0.000855,1.370475
shoes restaurant,5.000000,0.000077,0.000727,0.732678
shoes crews,17.000000,0.000261,0.002151,3.529960
shoes resistant,6.000000,0.000092,0.000855,0.778424
shoes hes,5.000000,0.000077,0.000727,1.475836
shoes kitchen,6.000000,0.000092,0.000855,1.244182
shoes supposed,4.000000,0.000061,0.000595,1.825212
shoes showing,3.000000,0.000046,0.000459,1.795359
shoes beating,4.000000,0.000061,0.000595,2.836813
shoes automotive,3.000000,0.000046,0.000459,3.019134
shoes meet,3.000000,0.000046,0.000459,2.431347
shoes grow,3.000000,0.000046,0.000459,0.990986
shoes weve,3.000000,0.000046,0.000459,1.795359
shoes overpriced,3.000000,0.000046,0.000459,3.019134
shoes boys,6.000000,0.000092,0.000855,1.766371
shoes sports,3.000000,0.000046,0.000459,2.063623
shoes active,7.000000,0.000107,0.000981,1.979362
shoes stood,3.000000,0.000046,0.000459,2.682662
shoes grandson,7.000000,0.000107,0.000981,0.880750
shoes granddaughter,12.000000,0.000184,0.001583,1.147332
shoes child,4.000000,0.000061,0.000595,0.908921
shoes lights,11.000000,0.000169,0.001465,0.696746
shoes kid,6.000000,0.000092,0.000855,1.045053
look shoe,3.000000,0.000046,0.000459,-0.718104
look love,3.000000,0.000046,0.000459,-0.608319
look great,78.000000,0.001196,0.008048,2.559229
look wear,8.000000,0.000123,0.001105,0.497917
look shoes,14.000000,0.000215,0.001813,-0.120699
look comfortable,17.000000,0.000261,0.002151,0.649316
look feet,8.000000,0.000123,0.001105,0.475444
look work,5.000000,0.000077,0.000727,0.028602
look super,4.000000,0.000061,0.000595,1.371734
look happy,3.000000,0.000046,0.000459,1.094002
look better,9.000000,0.000138,0.001227,2.258042
look really,24.000000,0.000368,0.002910,2.415758
look size,3.000000,0.000046,0.000459,-0.495913
look pair,4.000000,0.000061,0.000595,-0.024413
look ok,3.000000,0.000046,0.000459,2.052853
look perfect,3.000000,0.000046,0.000459,0.500675
look big,5.000000,0.000077,0.000727,1.235566
look little,3.000000,0.000046,0.000459,0.115676
look feel,32.000000,0.000491,0.003739,3.117536
look like,42.000000,0.000644,0.004733,2.405101
look soles,3.000000,0.000046,0.000459,1.807352
look person,3.000000,0.000046,0.000459,2.790452
look worn,4.000000,0.000061,0.000595,1.259467
look colors,3.000000,0.000046,0.000459,1.519670
look fit,16.000000,0.000245,0.002040,1.189000
look pretty,10.000000,0.000153,0.001347,2.542172
look year,4.000000,0.000061,0.000595,0.989642
look nice,48.000000,0.000736,0.005310,3.222984
look daughter,4.000000,0.000061,0.000595,0.241717
look cheap,5.000000,0.000077,0.000727,3.231073
look br,4.000000,0.000061,0.000595,1.802263
look wide,3.000000,0.000046,0.000459,0.722439
look brand,12.000000,0.000184,0.001583,3.019293
look stylish,4.000000,0.000061,0.000595,2.358079
look good,73.000000,0.001119,0.007607,2.734747
look years,3.000000,0.000046,0.000459,1.427147
look huge,3.000000,0.000046,0.000459,3.108905
look beautiful,3.000000,0.000046,0.000459,2.480297
look light,5.000000,0.000077,0.000727,1.201587
look quality,3.000000,0.000046,0.000459,1.051582
look course,3.000000,0.000046,0.000459,3.465580
look dressy,3.000000,0.000046,0.000459,2.969143
look terrible,3.000000,0.000046,0.000459,3.242437
look bad,5.000000,0.000077,0.000727,2.278172
look picture,3.000000,0.000046,0.000459,2.991122
look taller,3.000000,0.000046,0.000459,4.495200
look old,6.000000,0.000092,0.000855,1.325514
look clunky,4.000000,0.000061,0.000595,3.907413
look adorable,5.000000,0.000077,0.000727,2.901891
look sharp,4.000000,0.000061,0.000595,4.687572
look stupid,3.000000,0.000046,0.000459,5.006025
look decent,3.000000,0.000046,0.000459,3.363798
comfortable shoe,100.000000,0.001534,0.009938,1.195100
comfortable love,55.000000,0.000843,0.005970,0.707048
comfortable thought,4.000000,0.000061,0.000595,0.557639
comfortable great,68.000000,0.001043,0.007160,0.828674
comfortable strap,5.000000,0.000077,0.000727,0.550471
comfortable time,18.000000,0.000276,0.002262,0.684456
comfortable wore,6.000000,0.000092,0.000855,0.241586
comfortable bought,12.000000,0.000184,0.001583,-0.082573
comfortable especially,5.000000,0.000077,0.000727,1.260909
comfortable wear,103.000000,0.001580,0.010189,1.459850
comfortable lot,5.000000,0.000077,0.000727,0.335359
comfortable walking,23.000000,0.000353,0.002804,1.262427
comfortable shoes,260.000000,0.003987,0.022028,1.207572
comfortable look,39.000000,0.000598,0.004439,1.479665
comfortable feet,57.000000,0.000874,0.006156,0.845700
comfortable hour,15.000000,0.000230,0.001927,2.218749
comfortable work,89.000000,0.001365,0.009003,1.314447
comfortable day,100.000000,0.001534,0.009938,1.717974
comfortable recommend,7.000000,0.000107,0.000981,0.371556
comfortable style,6.000000,0.000092,0.000855,0.522300
comfortable sandals,24.000000,0.000368,0.002910,1.663472
comfortable super,4.000000,0.000061,0.000595,-0.221620
comfortable summer,4.000000,0.000061,0.000595,0.671831
comfortable wearing,14.000000,0.000215,0.001813,0.550471
comfortable flip,9.000000,0.000138,0.001227,1.427846
comfortable flops,3.000000,0.000046,0.000459,0.589310
comfortable flop,3.000000,0.000046,0.000459,1.443231
comfortable skechers,30.000000,0.000460,0.003535,1.017811
comfortable happy,5.000000,0.000077,0.000727,0.011474
comfortable comfy,4.000000,0.000061,0.000595,-0.426781
comfortable better,5.000000,0.000077,0.000727,0.076902
comfortable expected,17.000000,0.000261,0.002151,1.127891
comfortable theyre,3.000000,0.000046,0.000459,-0.292737
comfortable really,16.000000,0.000245,0.002040,0.416939
comfortable size,15.000000,0.000230,0.001927,-0.479829
comfortable right,14.000000,0.000215,0.001813,1.041094
comfortable larger,4.000000,0.000061,0.000595,0.543353
comfortable small,3.000000,0.000046,0.000459,-0.667687
comfortable easy,13.000000,0.000199,0.001699,1.729126
comfortable arch,14.000000,0.000215,0.001813,0.961051
comfortable support,15.000000,0.000230,0.001927,0.605279
comfortable half,10.000000,0.000153,0.001347,1.005726
comfortable definitely,4.000000,0.000061,0.000595,0.224255
comfortable order,6.000000,0.000092,0.000855,0.472628
comfortable pair,33.000000,0.000506,0.003840,0.492447
comfortable fine,3.000000,0.000046,0.000459,0.255671
comfortable straps,3.000000,0.000046,0.000459,0.220824
comfortable tight,5.000000,0.000077,0.000727,0.259935
comfortable toe,8.000000,0.000123,0.001105,0.028281
comfortable toes,7.000000,0.000107,0.000981,0.331417
comfortable worth,3.000000,0.000046,0.000459,0.579458
comfortable price,10.000000,0.000153,0.001347,0.262074
comfortable ok,3.000000,0.000046,0.000459,0.459499
comfortable perfect,9.000000,0.000138,0.001227,0.005934
comfortable does,3.000000,0.000046,0.000459,0.442257
comfortable sandal,10.000000,0.000153,0.001347,1.886615
comfortable big,8.000000,0.000123,0.001105,0.112216
comfortable little,19.000000,0.000291,0.002372,0.368149
comfortable high,4.000000,0.000061,0.000595,0.624579
comfortable pairs,6.000000,0.000092,0.000855,0.732792
comfortable purchase,6.000000,0.000092,0.000855,0.688092
comfortable feel,9.000000,0.000138,0.001227,0.255671
comfortable like,27.000000,0.000414,0.003225,0.369914
comfortable sturdy,9.000000,0.000138,0.001227,1.884203
comfortable walk,16.000000,0.000245,0.002040,1.356946
comfortable long,27.000000,0.000414,0.003225,1.456235
comfortable soles,3.000000,0.000046,0.000459,0.213998
comfortable said,4.000000,0.000061,0.000595,0.368149
comfortable sole,3.000000,0.000046,0.000459,-0.363914
comfortable product,5.000000,0.000077,0.000727,0.397137
comfortable buying,3.000000,0.000046,0.000459,0.262789
comfortable wrong,5.000000,0.000077,0.000727,1.424797
comfortable inside,6.000000,0.000092,0.000855,1.085394
comfortable didnt,3.000000,0.000046,0.000459,-0.363914
comfortable ive,28.000000,0.000429,0.003329,1.577237
comfortable worn,17.000000,0.000261,0.002151,1.113032
comfortable hours,24.000000,0.000368,0.002910,1.469742
comfortable soft,6.000000,0.000092,0.000855,0.955936
comfortable different,3.000000,0.000046,0.000459,-0.032011
comfortable colors,5.000000,0.000077,0.000727,0.437142
comfortable rub,3.000000,0.000046,0.000459,1.540869
comfortable foot,14.000000,0.000215,0.001813,0.385302
comfortable did,4.000000,0.000061,0.000595,-0.060847
comfortable expect,3.000000,0.000046,0.000459,1.161380
comfortable heel,10.000000,0.000153,0.001347,0.927765
comfortable looking,13.000000,0.000199,0.001699,1.219730
comfortable fit,50.000000,0.000767,0.005500,0.735080
comfortable say,5.000000,0.000077,0.000727,0.752412
comfortable goes,3.000000,0.000046,0.000459,1.333230
comfortable pretty,10.000000,0.000153,0.001347,0.948818
comfortable thing,3.000000,0.000046,0.000459,0.693571
comfortable far,11.000000,0.000169,0.001465,1.105551
comfortable doesnt,4.000000,0.000061,0.000595,0.663799
comfortable make,7.000000,0.000107,0.000981,0.783871
comfortable trying,3.000000,0.000046,0.000459,1.093557
comfortable footbed,3.000000,0.000046,0.000459,1.837135
comfortable excellent,10.000000,0.000153,0.001347,0.992303
comfortable second,4.000000,0.000061,0.000595,0.188808
comfortable ordered,7.000000,0.000107,0.000981,-0.035046
comfortable color,7.000000,0.000107,0.000981,0.631194
comfortable extra,3.000000,0.000046,0.000459,0.400410
comfortable awesome,3.000000,0.000046,0.000459,0.269957
comfortable nice,25.000000,0.000383,0.003016,0.977305
comfortable highly,7.000000,0.000107,0.000981,1.315530
comfortable days,3.000000,0.000046,0.000459,-0.113689
comfortable daughter,13.000000,0.000199,0.001699,-0.172982
comfortable loves,17.000000,0.000261,0.002151,-0.146869
comfortable hold,6.000000,0.000092,0.000855,1.061296
comfortable feels,8.000000,0.000123,0.001105,1.325448
comfortable week,4.000000,0.000061,0.000595,0.344619
comfortable br,5.000000,0.000077,0.000727,0.432053
comfortable black,3.000000,0.000046,0.000459,0.213998
comfortable longer,4.000000,0.000061,0.000595,0.896993
comfortable wide,5.000000,0.000077,0.000727,-0.360089
comfortable water,3.000000,0.000046,0.000459,1.312611
comfortable stay,3.000000,0.000046,0.000459,1.253187
comfortable large,5.000000,0.000077,0.000727,0.452566
comfortable perfectly,5.000000,0.000077,0.000727,0.585358
comfortable end,4.000000,0.000061,0.000595,0.847722
comfortable stylish,30.000000,0.000460,0.003535,2.779628
comfortable true,8.000000,0.000123,0.001105,1.222416
comfortable looks,8.000000,0.000123,0.001105,1.265279
comfortable good,37.000000,0.000567,0.004241,0.461852
comfortable insoles,4.000000,0.000061,0.000595,0.764725
comfortable hard,3.000000,0.000046,0.000459,-0.317030
comfortable best,6.000000,0.000092,0.000855,0.693571
comfortable affordable,3.000000,0.000046,0.000459,2.159909
comfortable use,7.000000,0.000107,0.000981,0.658101
comfortable hoping,3.000000,0.000046,0.000459,1.014776
comfortable used,3.000000,0.000046,0.000459,0.234618
comfortable fits,7.000000,0.000107,0.000981,0.592143
comfortable years,4.000000,0.000061,0.000595,0.121475
comfortable lightweight,12.000000,0.000184,0.001583,1.917896
comfortable beautiful,8.000000,0.000123,0.001105,1.867772
comfortable height,6.000000,0.000092,0.000855,2.005758
comfortable loose,3.000000,0.000046,0.000459,0.569702
comfortable provide,3.000000,0.000046,0.000459,1.312611
comfortable wanted,3.000000,0.000046,0.000459,0.450841
comfortable slip,14.000000,0.000215,0.001813,0.995483
comfortable youre,3.000000,0.000046,0.000459,1.397768
comfortable stand,6.000000,0.000092,0.000855,1.540869
comfortable light,49.000000,0.000751,0.005405,1.890616
comfortable weight,14.000000,0.000215,0.001813,1.869679
comfortable casual,6.000000,0.000092,0.000855,1.634898
comfortable problems,3.000000,0.000046,0.000459,0.761780
comfortable standing,4.000000,0.000061,0.000595,1.243618
comfortable cushion,4.000000,0.000061,0.000595,0.917402
comfortable sneakers,7.000000,0.000107,0.000981,0.704621
comfortable return,3.000000,0.000046,0.000459,-0.137903
comfortable quality,8.000000,0.000123,0.001105,0.439057
comfortable owned,7.000000,0.000107,0.000981,1.908594
comfortable warm,4.000000,0.000061,0.000595,2.314059
comfortable dressy,5.000000,0.000077,0.000727,1.886615
comfortable run,12.000000,0.000184,0.001583,0.924299
comfortable break,3.000000,0.000046,0.000459,0.408640
comfortable reasonably,3.000000,0.000046,0.000459,3.124989
comfortable school,4.000000,0.000061,0.000595,0.219113
comfortable hoped,3.000000,0.000046,0.000459,2.314059
comfortable narrow,4.000000,0.000061,0.000595,0.098485
comfortable foam,21.000000,0.000322,0.002589,1.207542
comfortable memory,27.000000,0.000414,0.003225,1.546584
comfortable original,3.000000,0.000046,0.000459,1.803234
comfortable wedges,3.000000,0.000046,0.000459,2.496381
comfortable available,3.000000,0.000046,0.000459,1.443231
comfortable fun,3.000000,0.000046,0.000459,1.126894
comfortable leather,3.000000,0.000046,0.000459,0.599261
comfortable durable,13.000000,0.000199,0.001699,2.045795
comfortable fitting,3.000000,0.000046,0.000459,1.738695
comfortable wears,3.000000,0.000046,0.000459,0.056936
comfortable runs,6.000000,0.000092,0.000855,1.723191
comfortable attractive,10.000000,0.000153,0.001347,2.911896
comfortable non,7.000000,0.000107,0.000981,1.620912
comfortable design,3.000000,0.000046,0.000459,0.797712
comfortable ankle,3.000000,0.000046,0.000459,0.941751
comfortable priced,4.000000,0.000061,0.000595,2.547674
comfortable padding,4.000000,0.000061,0.000595,1.449062
comfortable socks,5.000000,0.000077,0.000727,0.847722
comfortable box,7.000000,0.000107,0.000981,1.446559
comfortable athletic,3.000000,0.000046,0.000459,2.259992
comfortable working,10.000000,0.000153,0.001347,1.417971
comfortable old,3.000000,0.000046,0.000459,-0.960987
comfortable supportive,14.000000,0.000215,0.001813,3.248368
comfortable insole,3.000000,0.000046,0.000459,0.459499
comfortable shoesbr,4.000000,0.000061,0.000595,2.090916
comfortable holding,3.000000,0.000046,0.000459,1.093557
comfortable ran,3.000000,0.000046,0.000459,1.649083
comfortable wants,3.000000,0.000046,0.000459,1.593513
comfortable shifts,4.000000,0.000061,0.000595,1.828551
comfortable lasted,4.000000,0.000061,0.000595,0.992303
comfortable sneaker,6.000000,0.000092,0.000855,1.443231
comfortable wearbr,3.000000,0.000046,0.000459,3.594993
comfortable boots,5.000000,0.000077,0.000727,0.062767
comfortable heavy,8.000000,0.000123,0.001105,1.208526
comfortable son,9.000000,0.000138,0.001227,0.250954
comfortable steel,8.000000,0.000123,0.001105,1.067266
comfortable decent,3.000000,0.000046,0.000459,1.770444
comfortable safety,3.000000,0.000046,0.000459,1.620912
comfortable boot,4.000000,0.000061,0.000595,0.764725
comfortable shift,5.000000,0.000077,0.000727,1.540869
comfortable hes,3.000000,0.000046,0.000459,1.540869
comfortable slipresistant,4.000000,0.000061,0.000595,2.719524
comfortable professional,3.000000,0.000046,0.000459,2.639482
comfortable granddaughter,3.000000,0.000046,0.000459,0.336896
ended little,3.000000,0.000046,0.000459,2.939656
ended buying,3.000000,0.000046,0.000459,4.680122
ended returning,3.000000,0.000046,0.000459,5.709741
ended giving,3.000000,0.000046,0.000459,6.402889
killing day,4.000000,0.000061,0.000595,3.291125
feet shoe,10.000000,0.000153,0.001347,-0.527586
feet love,10.000000,0.000153,0.001347,-0.417800
feet great,38.000000,0.000583,0.004340,0.826652
feet time,17.000000,0.000261,0.002151,1.207196
feet wear,26.000000,0.000399,0.003121,0.663117
feet lot,21.000000,0.000322,0.002589,2.350343
feet walking,10.000000,0.000153,0.001347,1.009417
feet felt,13.000000,0.000199,0.001699,2.559319
feet shoes,61.000000,0.000935,0.006524,0.337664
feet look,12.000000,0.000184,0.001583,0.880909
feet comfortable,33.000000,0.000506,0.003840,0.299156
feet killing,15.000000,0.000230,0.001927,4.302726
feet hour,9.000000,0.000138,0.001227,2.287823
feet work,27.000000,0.000414,0.003225,0.701547
feet day,205.000000,0.003144,0.018115,3.015713
feet recommend,7.000000,0.000107,0.000981,0.951455
feet comfort,3.000000,0.000046,0.000459,0.287162
feet sandals,5.000000,0.000077,0.000727,0.674755
feet started,6.000000,0.000092,0.000855,1.641196
feet wearing,11.000000,0.000169,0.001465,0.889208
feet flip,3.000000,0.000046,0.000459,0.909133
feet skechers,5.000000,0.000077,0.000727,-0.194049
feet issues,3.000000,0.000046,0.000459,1.641196
feet pain,8.000000,0.000123,0.001105,1.761213
feet happy,8.000000,0.000123,0.001105,1.061377
feet comfy,6.000000,0.000092,0.000855,0.558584
feet better,6.000000,0.000092,0.000855,0.839123
feet really,6.000000,0.000092,0.000855,0.016009
feet size,15.000000,0.000230,0.001927,0.100070
feet right,5.000000,0.000077,0.000727,0.591373
feet arch,10.000000,0.000153,0.001347,1.204478
feet support,5.000000,0.000077,0.000727,0.086566
feet hurt,84.000000,0.001288,0.008572,3.859039
feet half,5.000000,0.000077,0.000727,0.892478
feet definitely,3.000000,0.000046,0.000459,0.516472
feet order,4.000000,0.000061,0.000595,0.647062
feet tried,3.000000,0.000046,0.000459,0.760450
feet pair,5.000000,0.000077,0.000727,-0.814724
feet fine,7.000000,0.000107,0.000981,1.682868
feet straps,3.000000,0.000046,0.000459,0.800724
feet tight,3.000000,0.000046,0.000459,0.329009
feet toe,3.000000,0.000046,0.000459,-0.372649
feet toes,5.000000,0.000077,0.000727,0.574844
feet perfect,5.000000,0.000077,0.000727,-0.001953
feet need,7.000000,0.000107,0.000981,1.090365
feet big,5.000000,0.000077,0.000727,0.222111
feet little,16.000000,0.000245,0.002040,0.776198
feet high,4.000000,0.000061,0.000595,1.204478
feet feel,41.000000,0.000629,0.004635,2.351918
feet like,22.000000,0.000337,0.002697,0.745019
feet walk,10.000000,0.000153,0.001347,1.466842
feet long,25.000000,0.000383,0.003016,1.959173
feet soles,5.000000,0.000077,0.000727,1.304723
feet didnt,8.000000,0.000123,0.001105,1.196815
feet think,4.000000,0.000061,0.000595,0.753892
feet ive,3.000000,0.000046,0.000459,-0.076456
feet worn,4.000000,0.000061,0.000595,0.246012
feet hours,81.000000,0.001242,0.008311,3.266037
feet different,3.000000,0.000046,0.000459,0.547888
feet difficult,4.000000,0.000061,0.000595,2.704716
feet foot,4.000000,0.000061,0.000595,-0.287562
feet going,3.000000,0.000046,0.000459,0.864349
feet did,7.000000,0.000107,0.000981,1.078669
feet heel,6.000000,0.000092,0.000855,0.996839
feet fit,17.000000,0.000261,0.002151,0.236170
feet pretty,8.000000,0.000123,0.001105,1.305574
feet problem,3.000000,0.000046,0.000459,0.728084
feet slide,12.000000,0.000184,0.001583,3.181641
feet doesnt,5.000000,0.000077,0.000727,1.466842
feet make,5.000000,0.000077,0.000727,1.027298
feet sore,15.000000,0.000230,0.001927,3.704889
feet excellent,3.000000,0.000046,0.000459,0.368230
feet ordered,4.000000,0.000061,0.000595,-0.014762
feet extra,6.000000,0.000092,0.000855,1.673456
feet way,5.000000,0.000077,0.000727,0.887984
feet usually,5.000000,0.000077,0.000727,1.195289
feet able,3.000000,0.000046,0.000459,1.579638
feet nice,3.000000,0.000046,0.000459,-0.563059
feet shape,3.000000,0.000046,0.000459,1.706793
feet days,3.000000,0.000046,0.000459,0.466210
feet loves,4.000000,0.000061,0.000595,-1.013889
feet hold,3.000000,0.000046,0.000459,0.948048
feet longer,5.000000,0.000077,0.000727,1.700036
feet wide,21.000000,0.000322,0.002589,1.654894
feet everyday,5.000000,0.000077,0.000727,1.876315
feet running,5.000000,0.000077,0.000727,1.427621
feet stay,4.000000,0.000061,0.000595,2.120769
feet perfectly,5.000000,0.000077,0.000727,1.165257
feet end,16.000000,0.000245,0.002040,2.813916
feet good,18.000000,0.000276,0.002262,0.321205
feet hard,9.000000,0.000138,0.001227,1.361482
feet constantly,6.000000,0.000092,0.000855,2.922129
feet used,6.000000,0.000092,0.000855,1.507664
feet swell,5.000000,0.000077,0.000727,4.349246
feet comfortably,3.000000,0.000046,0.000459,1.579638
feet flat,3.000000,0.000046,0.000459,1.440525
