Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
shoe fits,30.000000,0.000460,0.003535,2.414611
shoe years,7.000000,0.000107,0.000981,1.048271
shoe tell,3.000000,0.000046,0.000459,1.639786
shoe comfortably,4.000000,0.000061,0.000595,1.654601
shoe area,3.000000,0.000046,0.000459,1.240878
shoe loose,3.000000,0.000046,0.000459,0.936882
shoe husband,4.000000,0.000061,0.000595,0.984096
shoe slip,6.000000,0.000092,0.000855,0.515365
shoe light,18.000000,0.000276,0.002262,1.256348
shoe actually,4.000000,0.000061,0.000595,1.167945
shoe problems,4.000000,0.000061,0.000595,1.416642
shoe received,3.000000,0.000046,0.000459,1.105703
shoe cushion,4.000000,0.000061,0.000595,1.284582
shoe fast,3.000000,0.000046,0.000459,0.784119
shoe quality,3.000000,0.000046,0.000459,-0.174592
shoe extremely,6.000000,0.000092,0.000855,1.412728
shoe needs,3.000000,0.000046,0.000459,1.679791
shoe uncomfortable,7.000000,0.000107,0.000981,1.312964
shoe owned,6.000000,0.000092,0.000855,2.121624
shoe away,3.000000,0.000046,0.000459,1.214902
shoe plus,3.000000,0.000046,0.000459,1.494074
shoe try,3.000000,0.000046,0.000459,0.711799
shoe makes,4.000000,0.000061,0.000595,1.097119
shoe run,5.000000,0.000077,0.000727,0.416010
shoe somewhat,3.000000,0.000046,0.000459,1.659588
shoe school,4.000000,0.000061,0.000595,0.586294
shoe narrow,5.000000,0.000077,0.000727,0.688809
shoe foam,5.000000,0.000077,0.000727,0.139637
shoe memory,8.000000,0.000123,0.001105,0.697369
shoe money,7.000000,0.000107,0.000981,1.656735
shoe kind,4.000000,0.000061,0.000595,1.748419
shoe arrived,3.000000,0.000046,0.000459,1.082975
shoe come,3.000000,0.000046,0.000459,0.853112
shoe correct,3.000000,0.000046,0.000459,2.275774
shoe inch,3.000000,0.000046,0.000459,2.393557
shoe wider,7.000000,0.000107,0.000981,2.244522
shoe instead,3.000000,0.000046,0.000459,1.908050
shoe leather,4.000000,0.000061,0.000595,1.254123
shoe broke,3.000000,0.000046,0.000459,1.582627
shoe wears,5.000000,0.000077,0.000727,0.934942
shoe runs,11.000000,0.000169,0.001465,2.696507
shoe store,8.000000,0.000123,0.001105,1.870309
shoe worked,5.000000,0.000077,0.000727,2.253795
shoe completely,7.000000,0.000107,0.000981,2.506886
shoe design,5.000000,0.000077,0.000727,1.675718
shoe ankle,4.000000,0.000061,0.000595,1.596613
shoe helps,3.000000,0.000046,0.000459,2.480569
shoe padding,4.000000,0.000061,0.000595,1.816242
shoe job,4.000000,0.000061,0.000595,1.167945
shoe box,4.000000,0.000061,0.000595,1.254123
shoe working,7.000000,0.000107,0.000981,1.428476
shoe old,12.000000,0.000184,0.001583,0.792488
shoe works,3.000000,0.000046,0.000459,1.323116
shoe provides,3.000000,0.000046,0.000459,2.863561
shoe previous,3.000000,0.000046,0.000459,1.810411
shoe opinion,3.000000,0.000046,0.000459,2.932554
shoe rubs,3.000000,0.000046,0.000459,2.575879
shoe apart,8.000000,0.000123,0.001105,1.548494
shoe falls,3.000000,0.000046,0.000459,3.374387
shoe torn,3.000000,0.000046,0.000459,2.932554
shoe concrete,5.000000,0.000077,0.000727,1.848330
shoe blue,4.000000,0.000061,0.000595,2.009146
shoe says,3.000000,0.000046,0.000459,0.502707
shoe broken,3.000000,0.000046,0.000459,1.858039
shoe pad,3.000000,0.000046,0.000459,2.681239
shoe glue,4.000000,0.000061,0.000595,2.563456
shoe heavy,8.000000,0.000123,0.001105,1.575707
shoe laces,20.000000,0.000307,0.002481,2.723799
shoe son,5.000000,0.000077,0.000727,0.030348
shoe steel,7.000000,0.000107,0.000981,1.300915
shoe tied,3.000000,0.000046,0.000459,2.627172
shoe decent,3.000000,0.000046,0.000459,2.137624
shoe boot,3.000000,0.000046,0.000459,0.844223
shoe lace,5.000000,0.000077,0.000727,2.616701
shoe restaurant,3.000000,0.000046,0.000459,1.164892
shoe slipresistant,3.000000,0.000046,0.000459,2.799022
shoe peeling,4.000000,0.000061,0.000595,2.968922
shoe polish,4.000000,0.000061,0.000595,4.249855
shoe composite,4.000000,0.000061,0.000595,2.170414
shoe bends,3.000000,0.000046,0.000459,4.185317
shoe strings,3.000000,0.000046,0.000459,3.625701
shoe granddaughter,3.000000,0.000046,0.000459,0.704077
shoe lights,14.000000,0.000215,0.001813,1.880948
poorly designed,4.000000,0.000061,0.000595,8.204698
love shoe,48.000000,0.000736,0.005310,0.938097
love thought,3.000000,0.000046,0.000459,0.746923
love great,29.000000,0.000445,0.003432,0.453428
love disappointed,6.000000,0.000092,0.000855,1.227050
love strap,3.000000,0.000046,0.000459,0.516611
love wore,3.000000,0.000046,0.000459,0.025405
love bought,11.000000,0.000169,0.001465,0.307382
love wear,16.000000,0.000245,0.002040,0.074676
love walking,3.000000,0.000046,0.000459,-0.297489
love shoes,394.000000,0.006042,0.030869,2.100207
love look,27.000000,0.000414,0.003225,1.588906
love comfortable,58.000000,0.000889,0.006248,0.760158
love feet,8.000000,0.000123,0.001105,-0.640944
love work,24.000000,0.000368,0.002910,0.480830
love day,4.000000,0.000061,0.000595,-1.023936
love recommend,3.000000,0.000046,0.000459,0.001224
love style,27.000000,0.000414,0.003225,2.503343
love comfort,12.000000,0.000184,0.001583,1.570523
love sandals,53.000000,0.000813,0.005783,2.932676
love super,6.000000,0.000092,0.000855,0.660811
love wearing,6.000000,0.000092,0.000855,0.180139
love flip,17.000000,0.000261,0.002151,2.540801
love flops,12.000000,0.000184,0.001583,2.452571
love skechers,79.000000,0.001211,0.008136,2.463028
